post_id,text,topic,hashtag,timestamp,platform,likes,shares
P00001,Reading about changes in the market #workplace #hrtech,workplace,#workplace,2023-06-22 00:00:00,Twitter,250,20
P00002,Love the new direction we are heading #technology #hrtech,technology,#technology,2023-12-08 00:00:00,BlueSky,12,68
P00003,Need better work-life balance support #technology #hrtech,technology,#technology,2024-11-28 00:00:00,LinkedIn,361,11
P00004,Innovation drives success #innovation #peoplefirst,innovation,#innovation,2023-12-18 00:00:00,Twitter,245,59
P00005,Amazing results from the latest project #leadership #futureofwork,leadership,#leadership,2023-06-29 00:00:00,Twitter,247,17
P00006,Frustrated with the slow pace of change #innovation #culture,innovation,#innovation,2022-03-08 00:00:00,BlueSky,166,18
P00007,Need better work-life balance support #workplace #hrtech,workplace,#workplace,2023-05-09 00:00:00,Twitter,373,13
P00008,Great progress on our new initiative #innovation #culture,innovation,#innovation,2023-01-08 00:00:00,LinkedIn,367,56
P00009,Panel discussion on the future of HR tech #workplace #peoplefirst,workplace,#workplace,2022-05-10 00:00:00,LinkedIn,234,87
P00010,Reading about changes in the market #technology #hrtech,technology,#technology,2023-03-21 00:00:00,LinkedIn,474,72
P00011,Disappointing lack of transparency #technology #futureofwork,technology,#technology,2023-01-08 00:00:00,LinkedIn,88,19
P00012,Too much bureaucracy stifling innovation #technology #peoplefirst,technology,#technology,2022-07-26 00:00:00,Twitter,375,54
P00013,New report on workforce analytics #leadership #futureofwork,leadership,#leadership,2023-04-29 00:00:00,Twitter,283,70
P00014,Proud of what the team accomplished #technology #peoplefirst,technology,#technology,2023-10-28 00:00:00,Twitter,334,46
P00015,Best practices in employee engagement #technology #culture,technology,#technology,2023-02-21 00:00:00,BlueSky,163,71
P00016,Amazing results from the latest project #leadership #hrtech,leadership,#leadership,2022-09-08 00:00:00,BlueSky,250,92
P00017,Outstanding teamwork and dedication #innovation #peoplefirst,innovation,#innovation,2022-11-27 00:00:00,Twitter,413,50
P00018,Reading about changes in the market #leadership #analytics,leadership,#leadership,2023-11-13 00:00:00,Twitter,133,32
