candidate_id,resume_text,years_experience,education_level,gpa,internal_candidate,referral,num_skills_listed,department_applied,source,outcome_90day_vol
C0001,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 12 years of professional experience. Managed a team of 10 employees in IT department. Responsible for Python and Python. Collaborated with cross-functional teams on Python and communication projects. Led communication initiatives resulting in improved operational efficiency across Research. SKILLS: communication, stakeholder management, Python.",12,Bachelor of Arts,3.82,0,0,3,Research,Referral,0
C0002,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 19 years of professional experience. Developed and implemented budgeting strategies for the Sales division. Spearheaded process improvement programs that enhanced budgeting outcomes. Collaborated with cross-functional teams on training development and training development projects. SKILLS: budgeting, quality assurance, problem solving, SQL, process improvement, business development, training development.",19,Master of Science,3.02,0,0,7,Human Resources,Campus,0
C0003,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 17 years of professional experience. Spearheaded risk assessment programs that enhanced communication outcomes. Collaborated with cross-functional teams on communication and risk assessment projects. Collaborated with cross-functional teams on communication and budgeting projects. SKILLS: risk assessment, communication, budgeting.",17,Bachelor of Arts,2.69,0,1,3,Product,Campus,0
C0004,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 5 years of professional experience. Developed and implemented data analysis strategies for the Research division. Managed a team of 11 employees in Marketing department. Responsible for stakeholder management and business development. Spearheaded stakeholder management programs that enhanced project management outcomes. SKILLS: project management, stakeholder management, process improvement, business development, data analysis.",5,Bachelor of Science,3.21,0,1,5,Operations,Referral,0
C0005,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 10 years of professional experience. Developed and implemented customer service strategies for the IT division. Designed and executed stakeholder management frameworks supporting Research objectives. Led stakeholder management initiatives resulting in improved operational efficiency across Customer Service. Developed and implemented customer service strategies for the Engineering division. SKILLS: agile methodology, stakeholder management, business development, customer service.",10,Bachelor of Science,3.06,0,1,4,Risk Management,Referral,0
C0006,"EDUCATION: Bachelor of Arts in Communications. EXPERIENCE: 15 years of professional experience. Collaborated with cross-functional teams on budgeting and budgeting projects. Managed a team of 20 employees in Finance department. Responsible for budgeting and customer service. Designed and executed quality assurance frameworks supporting IT objectives. SKILLS: customer service, communication, quality assurance, budgeting, strategic planning, SQL.",15,Bachelor of Arts,3.37,0,1,6,Operations,Job Board,1
C0007,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 5 years of professional experience. Oversaw data analysis operations and drove business development improvements. Managed a team of 4 employees in Engineering department. Responsible for business development and financial analysis. Spearheaded financial analysis programs that enhanced data analysis outcomes. SKILLS: business development, training development, financial analysis, data analysis.",5,Master of Science,3.54,1,0,4,Risk Management,Career Site,1
C0008,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 23 years of professional experience. Spearheaded quality assurance programs that enhanced regulatory compliance outcomes. Led quality assurance initiatives resulting in improved operational efficiency across Research. SKILLS: customer service, regulatory compliance, quality assurance.",23,Bachelor of Science,2.95,0,0,3,Engineering,Career Site,0
C0009,"EDUCATION: Master of Business Administration. EXPERIENCE: 17 years of professional experience. Led financial analysis initiatives resulting in improved operational efficiency across Human Resources. Designed and executed regulatory compliance frameworks supporting Product objectives. SKILLS: project management, risk assessment, Microsoft Office, customer service, team leadership, business development, regulatory compliance, financial analysis.",17,Master of Business Administration,3.89,1,1,8,Engineering,Agency,0
C0010,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 4 years of professional experience. Led problem solving initiatives resulting in improved operational efficiency across Marketing. Oversaw budgeting operations and drove stakeholder management improvements. Oversaw SQL operations and drove SQL improvements. SKILLS: risk assessment, problem solving, Python, SQL, budgeting, stakeholder management.",4,Bachelor of Science,2.94,0,1,6,Research,Agency,0
C0011,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 13 years of professional experience. Oversaw risk assessment operations and drove risk assessment improvements. Led risk assessment initiatives resulting in improved operational efficiency across Engineering. Spearheaded process improvement programs that enhanced risk assessment outcomes. SKILLS: regulatory compliance, risk assessment, process improvement.",13,Bachelor of Science,2.55,0,0,3,Research,Referral,0
C0012,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 1 years of professional experience. Developed and implemented process improvement strategies for the Risk Management division. Oversaw budgeting operations and drove data analysis improvements. SKILLS: business development, budgeting, data analysis, process improvement, communication, Python, quality assurance, regulatory compliance.",1,Bachelor of Science,3.48,0,1,8,Operations,Referral,0
C0013,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 13 years of professional experience. Designed and executed business development frameworks supporting Legal objectives. Spearheaded SQL programs that enhanced budgeting outcomes. SKILLS: regulatory compliance, strategic planning, budgeting, communication, SQL, agile methodology, training development, business development.",13,Bachelor of Science,3.55,0,0,8,IT,Job Board,0
C0014,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 8 years of professional experience. Oversaw project management operations and drove team leadership improvements. Developed and implemented stakeholder management strategies for the Communications division. SKILLS: process improvement, regulatory compliance, agile methodology, team leadership, data analysis, project management, stakeholder management.",8,Bachelor of Arts,3.69,0,0,7,Human Resources,Job Board,0
C0015,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 9 years of professional experience. Managed a team of 5 employees in Product department. Responsible for team leadership and agile methodology. Led data analysis initiatives resulting in improved operational efficiency across Human Resources. SKILLS: agile methodology, stakeholder management, team leadership, data analysis.",9,Bachelor of Science,2.7,1,1,4,Research,Referral,0
